asset,cost,variant,month,net_r
xauusd,stress,causal_euclidean,2026-07,-4.7265586484869875
xauusd,stress,causal_euclidean,2026-08,-1.4177703882882495
xauusd,stress,simple_momentum4,2024-01,-9.84282797690606
xauusd,stress,simple_momentum4,2024-02,-6.825157601355008
xauusd,stress,simple_momentum4,2024-03,7.23869664933883
xauusd,stress,simple_momentum4,2024-04,-3.2939198353642762
xauusd,stress,simple_momentum4,2024-05,1.3436937988645514
xauusd,stress,simple_momentum4,2024-06,-1.8617926075380156
xauusd,stress,simple_momentum4,2024-07,-3.8940939371374643
xauusd,stress,simple_momentum4,2024-08,-0.11193096869585228
xauusd,stress,simple_momentum4,2024-09,-9.089789972244011
xauusd,stress,simple_momentum4,2024-10,-12.313180218618749
xauusd,stress,simple_momentum4,2024-11,7.353926202942287
xauusd,stress,simple_momentum4,2024-12,-8.465489806741406
xauusd,stress,simple_momentum4,2025-01,1.4292759190177904
xauusd,stress,simple_momentum4,2025-02,-4.116324816270492
xauusd,stress,simple_momentum4,2025-03,-11.297886647584352
xauusd,stress,simple_momentum4,2025-04,3.0181627521910124
xauusd,stress,simple_momentum4,2025-05,14.261605642946567
xauusd,stress,simple_momentum4,2025-06,-10.961620378990265
xauusd,stress,simple_momentum4,2025-07,3.393289081944319
xauusd,stress,simple_momentum4,2025-08,15.766462692220347
xauusd,stress,simple_momentum4,2025-09,6.1254647012878225
xauusd,stress,simple_momentum4,2025-10,-5.716889521785949
xauusd,stress,simple_momentum4,2025-11,-7.503241287347254
xauusd,stress,simple_momentum4,2025-12,-18.901842918628233
xauusd,stress,simple_momentum4,2026-01,6.582414796286874
xauusd,stress,simple_momentum4,2026-02,-12.186324155170457
xauusd,stress,simple_momentum4,2026-03,-8.212633562153572
