asset,timeframe,scope,variant,month,net_bps,trades,year
sp500,1h,full_history,causal_lorentzian,2024-09,152.7555247896876,8,2024
sp500,1h,full_history,causal_lorentzian,2024-10,1.744507353583673,9,2024
sp500,1h,full_history,causal_lorentzian,2024-11,80.48645507931963,8,2024
sp500,1h,full_history,causal_lorentzian,2024-12,-6.013632377075652,8,2024
sp500,1h,full_history,causal_lorentzian,2025-01,328.9213606280762,13,2025
sp500,1h,full_history,causal_lorentzian,2025-02,60.58226322100037,12,2025
sp500,1h,full_history,causal_lorentzian,2025-03,149.6835349622815,18,2025
sp500,1h,full_history,causal_lorentzian,2025-04,511.1334223529567,13,2025
sp500,1h,full_history,causal_lorentzian,2025-05,59.91973372865512,7,2025
sp500,1h,full_history,causal_lorentzian,2025-06,-101.79346327590792,8,2025
sp500,1h,full_history,causal_lorentzian,2025-07,148.063735269988,12,2025
sp500,1h,full_history,causal_lorentzian,2025-08,84.98745331042845,9,2025
sp500,1h,full_history,causal_lorentzian,2025-09,59.30193022503174,6,2025
sp500,1h,full_history,causal_lorentzian,2025-10,-317.2489834063079,16,2025
sp500,1h,full_history,causal_lorentzian,2025-11,-71.5251030542325,6,2025
sp500,1h,full_history,causal_lorentzian,2025-12,-21.907808940774782,9,2025
sp500,1h,full_history,causal_lorentzian,2026-01,-209.4888026064724,13,2026
sp500,1h,full_history,causal_lorentzian,2026-02,-112.62643216488189,8,2026
sp500,1h,full_history,causal_lorentzian,2026-03,131.6613126131339,14,2026
sp500,1h,full_history,causal_lorentzian,2026-04,89.56515372808596,9,2026
sp500,1h,full_history,causal_lorentzian,2026-05,-63.798660036671976,8,2026
sp500,1h,full_history,causal_lorentzian,2026-06,-441.5599260355828,16,2026
sp500,1h,full_history,causal_lorentzian,2026-07,-82.02606153508566,10,2026
sp500,1h,full_history,causal_lorentzian,2026-08,-8.084483849345634,6,2026
sp500,1h,full_history,causal_euclidean,2024-01,-165.2477695756471,13,2024
sp500,1h,full_history,causal_euclidean,2024-02,-44.626331059348125,12,2024
sp500,1h,full_history,causal_euclidean,2024-03,-38.27950208914653,13,2024
sp500,1h,full_history,causal_euclidean,2024-04,-130.37869106687293,9,2024
sp500,1h,full_history,causal_euclidean,2024-05,-297.23391689959703,11,2024
sp500,1h,full_history,causal_euclidean,2024-06,35.113657442304195,3,2024
sp500,1h,full_history,causal_euclidean,2024-07,35.80619364610675,9,2024
sp500,1h,full_history,causal_euclidean,2024-08,129.15254196541485,15,2024
sp500,1h,full_history,causal_euclidean,2024-09,86.26293905671685,5,2024
sp500,1h,full_history,causal_euclidean,2024-10,85.37828414981148,8,2024
sp500,1h,full_history,causal_euclidean,2024-11,101.82282711818593,10,2024
sp500,1h,full_history,causal_euclidean,2024-12,179.706329316569,14,2024
sp500,1h,full_history,causal_euclidean,2025-01,47.22831473236423,10,2025
sp500,1h,full_history,causal_euclidean,2025-02,-65.1461673116769,9,2025
sp500,1h,full_history,causal_euclidean,2025-03,238.46785672340673,15,2025
sp500,1h,full_history,causal_euclidean,2025-04,508.5867422236366,15,2025
sp500,1h,full_history,causal_euclidean,2025-05,15.504023440479628,8,2025
sp500,1h,full_history,causal_euclidean,2025-06,-195.77395238136842,12,2025
sp500,1h,full_history,causal_euclidean,2025-07,107.51337947058799,12,2025
sp500,1h,full_history,causal_euclidean,2025-08,22.266505201760566,11,2025
sp500,1h,full_history,causal_euclidean,2025-09,-9.742669502404663,7,2025
sp500,1h,full_history,causal_euclidean,2025-10,3.336291880209112,12,2025
sp500,1h,full_history,causal_euclidean,2025-11,90.42759483158366,9,2025
sp500,1h,full_history,causal_euclidean,2025-12,2.7542676406524365,10,2025
sp500,1h,full_history,causal_euclidean,2026-01,-111.94192931901235,12,2026
sp500,1h,full_history,causal_euclidean,2026-02,-151.20566479603974,7,2026
sp500,1h,full_history,causal_euclidean,2026-03,-15.249407713306002,12,2026
sp500,1h,full_history,causal_euclidean,2026-04,16.406904436455672,8,2026
sp500,1h,full_history,causal_euclidean,2026-05,9.30074324722072,9,2026
sp500,1h,full_history,causal_euclidean,2026-06,-449.4264115960634,17,2026
sp500,1h,full_history,causal_euclidean,2026-07,-49.49682614226829,16,2026
sp500,1h,full_history,causal_euclidean,2026-08,-93.06684347139532,8,2026
sp500,1h,full_history,simple_momentum4,2024-01,15.191037172490068,15,2024
sp500,1h,full_history,simple_momentum4,2024-02,-179.48446252930475,12,2024
sp500,1h,full_history,simple_momentum4,2024-03,-86.05091122981237,18,2024
sp500,1h,full_history,simple_momentum4,2024-04,236.05447200323644,19,2024
sp500,1h,full_history,simple_momentum4,2024-05,-465.0153830927196,22,2024
sp500,1h,full_history,simple_momentum4,2024-06,-65.20950532744901,17,2024
sp500,1h,full_history,simple_momentum4,2024-07,15.606693933269682,15,2024
sp500,1h,full_history,simple_momentum4,2024-08,-261.5312403251671,16,2024
sp500,1h,full_history,simple_momentum4,2024-09,-65.65590519870045,21,2024
sp500,1h,full_history,simple_momentum4,2024-10,14.646610560801392,18,2024
sp500,1h,full_history,simple_momentum4,2024-11,-13.354372326533118,17,2024
sp500,1h,full_history,simple_momentum4,2024-12,108.70329810151905,17,2024
sp500,1h,full_history,simple_momentum4,2025-01,385.0375136810736,15,2025
sp500,1h,full_history,simple_momentum4,2025-02,-120.42897299247363,10,2025
sp500,1h,full_history,simple_momentum4,2025-03,181.44941380146156,17,2025
sp500,1h,full_history,simple_momentum4,2025-04,158.2042256707486,13,2025
sp500,1h,full_history,simple_momentum4,2025-05,84.69381380235086,13,2025
sp500,1h,full_history,simple_momentum4,2025-06,-66.94010478016419,20,2025
sp500,1h,full_history,simple_momentum4,2025-07,60.80102274422765,16,2025
sp500,1h,full_history,simple_momentum4,2025-08,175.96366718938918,12,2025
sp500,1h,full_history,simple_momentum4,2025-09,-14.931371133369549,15,2025
sp500,1h,full_history,simple_momentum4,2025-10,-112.86133420410174,18,2025
sp500,1h,full_history,simple_momentum4,2025-11,183.26107136330424,12,2025
sp500,1h,full_history,simple_momentum4,2025-12,-98.12966006743639,17,2025
sp500,1h,full_history,simple_momentum4,2026-01,-45.39035209636121,18,2026
sp500,1h,full_history,simple_momentum4,2026-02,84.83278661223675,16,2026
sp500,1h,full_history,simple_momentum4,2026-03,-66.62094467182106,13,2026
sp500,1h,full_history,simple_momentum4,2026-04,-66.75469307725128,17,2026
sp500,1h,full_history,simple_momentum4,2026-05,-69.92227746262913,17,2026
sp500,1h,full_history,simple_momentum4,2026-06,-541.8706861118801,17,2026
sp500,1h,full_history,simple_momentum4,2026-07,-444.32738649732954,25,2026
sp500,1h,full_history,simple_momentum4,2026-08,48.324427233840616,11,2026
sp500,1h,full_history,filter_only_kernel,2024-01,19.575938775720644,16,2024
sp500,1h,full_history,filter_only_kernel,2024-02,-171.38496469816985,11,2024
sp500,1h,full_history,filter_only_kernel,2024-03,-71.44338584193508,18,2024
sp500,1h,full_history,filter_only_kernel,2024-04,236.05447200323644,19,2024
sp500,1h,full_history,filter_only_kernel,2024-05,-465.0153830927196,22,2024
sp500,1h,full_history,filter_only_kernel,2024-06,-26.418351018198315,18,2024
sp500,1h,full_history,filter_only_kernel,2024-07,15.606693933269682,15,2024
