asset,policy,cost,year,direction,regime,trades,trades_per_week,total_r,mean_r,median_r,win_rate,profit_factor,max_drawdown_r,total_r_ex_top10
sp500,baseline,stress,2026,-1,bull,82,0.5893223819301848,-4.525604820776121,-0.055190302692391724,-1.0000000000000084,0.34146341463414637,0.9162271146800688,22.07922878606486,-37.61608314720914
sp500,baseline,stress,2026,-1,mixed,4,0.028747433264887063,-0.22391290587788992,-0.05597822646947248,-0.434665478338637,0.5,0.8880435470610603,1.0000000000000597,0.0
sp500,baseline,stress,2026,1,bear,2,0.014373716632443531,0.9278959722161251,0.46394798610806254,0.46394798610806254,0.5,1.9278959722161215,1.0000000000000038,0.0
sp500,baseline,stress,2026,1,bull,62,0.4455852156057495,-5.214798527717102,-0.08410965367285649,-1.0000000000000098,0.3225806451612903,0.8764912615629897,18.373216539907276,-37.57856675896009
sp500,baseline,stress,2026,1,mixed,6,0.043121149897330596,8.432142307170214,1.4053570511950355,-1.0000000000000087,0.3333333333333333,3.1080355767925023,2.000000000000064,0.0
sp500,long_only,stress,2024,1,bull,122,0.8767967145790555,35.868141029588045,0.29400115598022986,-0.9999999999999963,0.4672131147540984,1.5515707256454687,10.001299037995434,-15.101279654550039
sp500,long_only,stress,2025,1,bear,18,0.1293634496919918,-0.26645905911676304,-0.014803281062042392,-0.8627329618650794,0.4444444444444444,0.972601923526708,4.000000000000191,-8.000000000000329
sp500,long_only,stress,2025,1,bull,90,0.6468172484599589,23.374456217186896,0.25971618019096554,-0.9999999999999984,0.45555555555555555,1.4770297187180814,16.77065433162824,-20.95491634572047
sp500,long_only,stress,2025,1,mixed,8,0.057494866529774126,2.8987638627871544,0.3623454828483943,-0.3519492493798773,0.5,1.7246909656967726,3.0000000000000653,0.0
sp500,long_only,stress,2026,1,bear,2,0.014373716632443531,0.9278959722161251,0.46394798610806254,0.46394798610806254,0.5,1.9278959722161215,1.0000000000000038,0.0
sp500,long_only,stress,2026,1,bull,62,0.4455852156057495,-5.214798527717102,-0.08410965367285649,-1.0000000000000098,0.3225806451612903,0.8764912615629897,18.373216539907276,-37.57856675896009
sp500,long_only,stress,2026,1,mixed,6,0.043121149897330596,8.432142307170214,1.4053570511950355,-1.0000000000000087,0.3333333333333333,3.1080355767925023,2.000000000000064,0.0
sp500,short_only,stress,2024,-1,bull,143,1.0277207392197125,-29.181771401435114,-0.20406833147856723,-1.0000000000000375,0.26573426573426573,0.7214884906903746,38.605691954520424,-77.30065316896759
sp500,short_only,stress,2025,-1,bear,19,0.13655030800821355,2.2790168996585223,0.11994825787676433,-1.0000000000000038,0.42105263157894735,1.207183354514405,5.710877741712796,-9.000000000000329
sp500,short_only,stress,2025,-1,bull,120,0.8624229979466119,-6.6891899172936276,-0.05574324931078023,-1.000000000000007,0.35,0.9140898030995116,21.98264448019262,-42.07059460552044
sp500,short_only,stress,2025,-1,mixed,10,0.07186858316221766,0.33900834610273245,0.033900834610273246,-1.00000000000002,0.2,1.0423760432628404,4.000000000000062,0.0
sp500,short_only,stress,2026,-1,bear,3,0.021560574948665298,3.7894847828521274,1.2631615942840424,0.8966196004801025,0.6666666666666666,4.789484782852149,0.9999999999999942,0.0
sp500,short_only,stress,2026,-1,bull,82,0.5893223819301848,-4.525604820776121,-0.055190302692391724,-1.0000000000000084,0.34146341463414637,0.9162271146800688,22.07922878606486,-37.61608314720914
sp500,short_only,stress,2026,-1,mixed,4,0.028747433264887063,-0.22391290587788992,-0.05597822646947248,-0.434665478338637,0.5,0.8880435470610603,1.0000000000000597,0.0
sp500,trend_aligned,stress,2024,1,bull,122,0.8767967145790555,35.868141029588045,0.29400115598022986,-0.9999999999999963,0.4672131147540984,1.5515707256454687,10.001299037995434,-15.101279654550039
sp500,trend_aligned,stress,2025,-1,bear,19,0.13655030800821355,2.2790168996585223,0.11994825787676433,-1.0000000000000038,0.42105263157894735,1.207183354514405,5.710877741712796,-9.000000000000329
