asset,policy,cost,month,net_r
sp500,baseline,stress,2024-01,3.5959916603836324
sp500,baseline,stress,2024-02,1.2406018869679272
sp500,baseline,stress,2024-03,-4.591821182738375
sp500,baseline,stress,2024-04,-2.183131512261667
sp500,baseline,stress,2024-05,2.3391876245746976
sp500,baseline,stress,2024-06,18.821237927915906
sp500,baseline,stress,2024-07,-10.592135131047453
sp500,baseline,stress,2024-08,3.784299288085001
sp500,baseline,stress,2024-09,-0.38304855527096493
sp500,baseline,stress,2024-10,1.714448467489996
sp500,baseline,stress,2024-11,-2.0096836493952135
sp500,baseline,stress,2024-12,-5.049577196550558
sp500,baseline,stress,2025-01,-0.5716097642513018
sp500,baseline,stress,2025-02,-7.018107688071337
sp500,baseline,stress,2025-03,-4.76592557547381
sp500,baseline,stress,2025-04,8.685188324839658
sp500,baseline,stress,2025-05,0.12704230442684206
sp500,baseline,stress,2025-06,-9.966899381700365
sp500,baseline,stress,2025-07,15.16812187831503
sp500,baseline,stress,2025-08,-2.08399877271652
sp500,baseline,stress,2025-09,7.6052773005205605
sp500,baseline,stress,2025-10,4.933168808732249
sp500,baseline,stress,2025-11,10.249389995219651
sp500,baseline,stress,2025-12,-0.42605108051573715
sp500,baseline,stress,2026-01,-5.057352672162224
sp500,baseline,stress,2026-02,3.7705417763224918
sp500,baseline,stress,2026-03,3.8872696339543666
sp500,baseline,stress,2026-04,17.829222075673847
sp500,baseline,stress,2026-05,-9.427667721447413
sp500,baseline,stress,2026-06,-5.556288694662851
sp500,baseline,stress,2026-07,-9.635623457672315
sp500,baseline,stress,2026-08,7.375105867861446
sp500,long_only,stress,2024-01,8.617642836869106
sp500,long_only,stress,2024-02,2.6584858260483983
sp500,long_only,stress,2024-03,-1.5744429095079435
sp500,long_only,stress,2024-04,-1.4951195348595774
sp500,long_only,stress,2024-05,6.858977999715183
sp500,long_only,stress,2024-06,17.976992583535235
sp500,long_only,stress,2024-07,-5.96475198943425
sp500,long_only,stress,2024-08,3.2209077187973625
sp500,long_only,stress,2024-09,-4.222206756792383
sp500,long_only,stress,2024-10,5.514291372343467
sp500,long_only,stress,2024-11,7.0023831271998604
sp500,long_only,stress,2024-12,-2.7250192443264107
sp500,long_only,stress,2025-01,-1.4268445594788917
sp500,long_only,stress,2025-02,-4.168271997899649
sp500,long_only,stress,2025-03,-6.331566790287034
sp500,long_only,stress,2025-04,5.361209232410624
sp500,long_only,stress,2025-05,1.950177416806019
sp500,long_only,stress,2025-06,-7.05041678397618
sp500,long_only,stress,2025-07,16.130903483161784
sp500,long_only,stress,2025-08,6.832894577761874
sp500,long_only,stress,2025-09,8.848507195244565
sp500,long_only,stress,2025-10,4.9640440582498355
sp500,long_only,stress,2025-11,2.652123919858063
sp500,long_only,stress,2025-12,-1.7559987309937177
sp500,long_only,stress,2026-01,-5.690507429852065
sp500,long_only,stress,2026-02,-4.307228427592328
sp500,long_only,stress,2026-03,-5.722616764828933
sp500,long_only,stress,2026-04,17.030837593798942
sp500,long_only,stress,2026-05,-3.0063157192265857
